symbol,name,sector,industry,current_price,high_52w,low_52w,price_to_52w_high,market_cap,pe_ratio,forward_pe,pb_ratio,peg_ratio,roe,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,rsi,beta,max_drawdown,avg_volume,dividend_yield,total_revenue,order_book_value,order_book_to_revenue_ratio,order_book_visibility_months,has_order_book_data,order_book_relevant,valuation_score,valuation_reasons,growth_score,growth_reasons,risk_score,risk_reasons,composite_score,is_estimated
KARURVYSYA,The Karur Vysya Bank Limited,Financial Services,Banks - Regional,299.04998779296875,343.45001220703125,179.94499972680077,87.0723474054506,28906.7368448,11.519646,9.414669,2.258157,,,38.388002,17.5,39.1,39.1,,,,50.74096103514572,1.0734237988985502,22.472914007835378,3179016.832,0.0,59881537536,,,,False,False,10.0,['P/E 67.5% below sector (11.5 vs 35.4)'],25.82,"['Earnings growth: 39.1%', 'Balanced RSI: 50.7', 'Strong liquidity', 'Profit margin: 38.4%']",30,[],65.82,
CAMS,Computer Age Management Services Limited,Technology,Information Technology Services,784.0,860.9351462680627,611.4000244140625,91.06376983196037,19441.9851264,40.98275,30.466774,15.940144,,38.694,31.394,11.0,10.6,10.9,4.863,3.426,2.444,56.3336052411186,0.9391095154333652,26.318010586047325,1733812.256,159.0,15162489856,,,,False,False,10.0,['P/E 63.4% below sector (41.0 vs 112.0)'],25.0,"['Balanced RSI: 56.3', 'Strong liquidity', 'Profit margin: 31.4%']",30,[],65.0,
LTF,L&T Finance Limited,Financial Services,Credit Services,280.75,329.45001220703125,167.0224168409419,85.21778406357215,70340.5228032,23.632154,14.829076,2.662273,,11.1169994,33.077,31.900000000000002,26.400000000000002,26.8,393.442,2.247,2.174,43.865448161312436,1.0179975895505637,25.007803277376507,7148862.984,98.0,90128498688,,,,False,False,10.0,['P/E 62.7% below sector (23.6 vs 63.3)'],29.66,"['Revenue growth: 31.9%', 'Earnings growth: 26.4%', 'Balanced RSI: 43.9', 'Strong liquidity', 'Profit margin: 33.1%']",25,['High debt-to-equity: 3.93'],64.66,
INDIANB,Indian Bank,Financial Services,Banks - Regional,820.5999755859375,1000.9000244140625,563.7849497036381,81.98620796980452,110531.8641664,9.443038,7.6465282,1.3807353,,15.442,34.144002,1.7999999999999998,6.4,6.4,,,,28.109381967152203,0.9823562753612101,17.911348673529428,2099542.388,222.00000000000003,342794010624,,,,False,False,15.5565967772,"['P/E 85.1% below sector (9.4 vs 63.3)', 'Strong P/B-ROE combo (P/B: 1.38, ROE: 15.4%)', 'Corrected 18.0% from 52W high']",18.147333333333332,"['Strong liquidity', 'Profit margin: 34.1%']",30,[],63.703930110533335,
KFINTECH,KFin Technologies Limited,Technology,Software - Application,808.2000122070312,1379.265477825795,805.0,58.59640694270383,13950.7499008,40.32934,28.192213,8.340471,,22.312,26.409,27.700000000000003,-5.0,-4.6,3.314,3.304,2.646,26.56417512448641,1.0458318311643748,39.62965668064689,1120501.464,93.0,13014930432,,,,False,False,10.0,['P/E 64.0% below sector (40.3 vs 112.0)'],25.54,"['Revenue growth: 27.7%', 'Strong liquidity', 'Profit margin: 26.4%']",28,[],63.54,
BLS,BLS International Services Limited,Industrials,Specialty Business Services,252.89999389648438,417.84841812628895,218.89999389648438,60.52433919231658,10411.6666368,16.180422,13.036082,4.884031,,,22.389999,43.6,34.8,34.8,16.545,,,24.753144666555656,1.4446983739511887,46.1197578797669,3484230.964,119.0,28764198912,,,,False,True,10.0,"['P/E 67.2% below sector (16.2 vs 49.3)', 'Corrected 39.5% from 52W high']",26.96,"['Revenue growth: 43.6%', 'Earnings growth: 34.8%', 'Strong liquidity', 'Profit margin: 22.4%']",26,['High max drawdown: 46.1%'],62.96,
CUB,City Union Bank Limited,Financial Services,Banks - Regional,250.64999389648438,324.1000061035156,185.30414638597546,77.33723825245107,18625.560576,14.065657,10.1563425,1.8712765,,13.241,37.617,23.599999999999998,25.1,24.9,,,,31.7082011313216,1.1530353824285378,23.28086164043085,2609291.728,80.0,35256610816,,,,False,False,10.0,"['P/E 60.3% below sector (14.1 vs 35.4)', 'Corrected 22.7% from 52W high']",22.740000000000002,"['Revenue growth: 23.6%', 'Earnings growth: 25.1%', 'Strong liquidity', 'Profit margin: 37.6%']",30,[],62.74,
SAGILITY,Sagility Limited,Healthcare,Health Information Services,42.0,57.832189582754076,35.83000183105469,72.62391464514889,19661.5798784,21.21212,17.03771,2.2347558,,,12.611,35.699999999999996,23.9,23.400000000000002,13.851,,,49.39025297965184,1.199893654844293,33.33394433230365,34110210.592,23.0,67370700800,,,,False,False,10.0,"['P/E 64.3% below sector (21.2 vs 59.4)', 'Corrected 27.4% from 52W high']",23.305500000000002,"['Revenue growth: 35.7%', 'Balanced RSI: 49.4', 'Strong liquidity', 'Profit margin: 12.6%']",28,[],61.3055,
JMFINANCIL,JM Financial Limited,Financial Services,Capital Markets,133.80999755859375,197.855161732981,108.10783923761545,67.63027882951037,12798.4738304,10.4457445,10.7048,1.2446283,,,35.617,31.4,50.0,49.7,104.102,,,39.32974158932743,1.4159954658383176,40.56225191346397,5579389.788,314.0,34987601920,,,,False,False,10.0,"['P/E 70.5% below sector (10.4 vs 35.4)', 'Corrected 32.4% from 52W high']",30.28,"['Revenue growth: 31.4%', 'Earnings growth: 50.0%', 'Strong liquidity', 'Profit margin: 35.6%']",21,"['High debt-to-equity: 1.04', 'High max drawdown: 40.6%']",61.28,
INDUSTOWER,Indus Towers Limited,Communication Services,Telecom Services,430.1499938964844,481.5,312.54998779296875,89.33540890892718,113437.1405824,15.872693,13.771304,2.8613145,,19.806999,21.989,4.8,0.8,0.8,53.289,1.724,1.199,66.23906483497203,0.8558506676713054,23.887260647570514,6961176.468,0.0,324930994176,,,,False,False,10.610431902180999,"['P/E 55.2% below sector (15.9 vs 35.5)', 'Strong P/B-ROE combo (P/B: 2.86, ROE: 19.8%)']",22.602333,"['Strong liquidity', 'Profit margin: 22.0%']",28,[],61.212764902181,
