symbol,name,sector,market_cap_cr,avg_volume,current_price
CCL,CCL Products (India) Limited,Consumer Defensive,14868.93,274218,1116.3
KSB,KSB Limited,Industrials,14812.48,137495,851.1
CHOICEIN,Choice International Limited,Financial Services,14797.93,371824,664.25
NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services,14748.25,13873298,79.83
AETHER,Aether Industries Limited,Basic Materials,14747.36,298015,1111.5
JINDALSAW,Jindal Saw Limited,Basic Materials,14607.26,1454087,229.09
KEC,KEC International Limited,Industrials,14602.4,863591,548.55
DEVYANI,Devyani International Limited,Consumer Cyclical,14558.55,2937920,118.08
J&KBANK,Jammu and Kashmir Bank Limited,Financial Services,14392.45,3009306,130.7
ABREL,Aditya Birla Real Estate Limited,Real Estate,14285.55,514685,1291.9
AGARWALEYE,DR AGARWALS HEALTH CARE L,Healthcare,14266.27,62050,450.1
LTFOODS,LT Foods Limited,Consumer Defensive,14214.8,366483,409.35
FINEORG,Fine Organic Industries Limited,Basic Materials,14199.55,7662,4631.3
IGIL,International Gemological Institute Limited,Basic Materials,14116.5,229511,326.65
EIDPARRY,E.I.D.- Parry (India) Limited,Basic Materials,14046.37,163341,789.45
KFINTECH,KFin Technologies Limited,Technology,13950.75,1250344,808.2
INGERRAND,Ingersoll-Rand (India) Limited,Industrials,13885.82,17037,4398.7
ENGINERSIN,Engineers India Limited,Industrials,13868.4,4773907,246.75
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,13834.28,2076,12105.0
ECLERX,eClerx Services Limited,Technology,13821.03,432596,1483.1
JSWHL,JSW Holdings Limited,Industrials,13740.98,4177,12381.0
DOMS,DOMS Industries Limited,Industrials,13736.81,83549,2263.5
AZAD,AZAD ENGINEERING LIMITED,Industrials,13550.54,405405,2098.2
FIVESTAR,Five-Star Business Finance Limited,Financial Services,13542.64,1044661,458.8
IRCON,Ircon International Limited,Industrials,13415.52,2683086,142.64
JPPOWER,Jaiprakash Power Ventures Limited,Utilities,13391.66,199867128,19.54
JSWDULUX,JSW Dulux Limited,Unknown,13374.28,27983,2936.8
ATLANTAELE,ATLANTA ELECTRICALS LTD,Industrials,13323.88,216404,1732.7
AEQUS,AEQUS LIMITED,Industrials,13262.11,2242259,202.52
APTUS,Aptus Value Housing Finance India Limited,Financial Services,13242.14,1455914,264.45
HAPPYFORGE,HAPPY FORGINGS LIMITED,Industrials,13082.64,73164,1386.6
INOXINDIA,INOX India Limited,Industrials,13006.41,233277,1433.0
CEATLTD,CEAT Limited,Consumer Cyclical,12958.5,156157,3212.2
NSLNISP,NMDC Steel Limited,Basic Materials,12836.05,12977319,43.8
CANHLIFE,CANARA HSBC LIFE INS CO L,Financial Services,12831.79,389685,135.43
ALIVUS,Alivus Life Sciences Limited,Healthcare,12821.36,100782,1044.6
JMFINANCIL,JM Financial Limited,Financial Services,12798.47,1635049,133.81
KIRLOSBROS,Kirloskar Brothers Limited,Industrials,12764.19,122760,1607.4
ABLBL,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,12641.96,927820,104.08
GRWRHITECH,Garware Hi-Tech Films Limited,Basic Materials,12553.39,95532,5403.4
