symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
JETFREIGHT,Jet Freight Logistics Limited,Industrials,13,4,7,1,1,24.917646,0.0,0.124,8.429,0.100710005
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,13,8,5,0,0,13.004913,46.0,0.035,1.478,
CENTENKA,Century Enka Limited,Consumer Cyclical,13,8,5,0,0,13.888889,49.2,-0.166,0.697,
ENRIN,Siemens Energy India Limited,Utilities,13,0,10,1,2,84.04412,0.0,0.274,0.522,
LAGNAM,Lagnam Spintex Limited,Consumer Cyclical,13,8,5,0,0,10.130751,62.9,0.03,0.571,
OSWALGREEN,Oswal Greentech Limited,Financial Services,13,3,5,2,3,32.076923,0.0,-0.125,15.5,
CEMPRO,Cemindia Projects Limited,Industrials,13,1,8,3,1,32.998898,0.0,0.199,1.134,0.28208
KRYSTAL,KRYSTAL,Industrials,13,8,2,1,2,18.97575,35.1,-0.102,0.113,0.13745
LAMBODHARA,Lambodhara Textiles Limited,Consumer Cyclical,13,8,5,0,0,13.585897,50.3,-0.029,0.589,
GICRE,General Insurance Corporation of India,Financial Services,13,8,2,3,0,7.062523,61.6,0.116,0.029,0.10142
AUBANK,AU Small Finance Bank Limited,Financial Services,13,1,10,2,0,28.33238,0.0,0.371,0.626,
NCLIND,NCL Industries Limited,Basic Materials,13,8,5,0,0,12.75919,47.9,-0.111,3.439,
MODIS,Modi's Navnirman Limited,Real Estate,13,1,10,2,0,28.566929,0.0,0.7,0.807,
BAJAJHFL,BAJAJHFL,Financial Services,13,1,7,3,2,27.312704,0.0,0.423,0.144,0.120570004
JSL,Jindal Stainless Limited,Basic Materials,13,3,7,2,1,19.38195,20.9,0.112,0.425,0.17407
JAYBARMARU,Jay Bharat Maruti Limited,Consumer Cyclical,13,7,6,0,0,11.481879,58.0,0.093,3.722,
INDGN,INDGN,Healthcare,13,4,5,2,2,28.326015,19.7,0.328,-0.323,0.13941
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,13,3,10,0,0,,0.0,0.71,5.721,
KROSS,KROSS,Consumer Cyclical,13,2,8,1,2,32.885017,0.0,0.223,0.31,0.11948
INDIAMART,IndiaMART InterMESH Limited,Communication Services,13,2,2,5,4,24.812937,0.0,0.139,-0.723,0.20703
