symbol,technical_score,trend_score,momentum_score,sr_score,volume_score,price_vs_50ma,pct_above_50ma,price_vs_200ma,pct_above_200ma,ma_cross,trend_strength,momentum_20d_pct,trend_total,rsi_score,rsi_value,macd_score,macd_position,stochastic_score,stochastic_k,momentum_total,sr_high_score,dist_from_52w_high_pct,sr_low_score,dist_from_52w_low_pct,breakout_score,sr_total,volume_trend_score,volume_trend_pct,volume_spike_score,volume_spike_pct,volume_total,current_price,sma_50,sma_200,rsi
CAPITALSFB,15.0,6.5,3,3.5,2.0,3,8.4,2,1.6,0,1.5,6.3,6.5,2,62.3,0,bearish,1,28.4,3,2.0,15.2,1.5,34.1,0,3.5,2,15.5,0.0,-75.0,2.0,276.9,255.37,272.44,62.3
NIVABUPA,15.0,5.0,4,3.0,3.0,3,6.2,2,2.8,0,0.0,-0.3,5.0,3,59.3,0,bearish,1,25.9,4,2.0,16.2,1.0,18.3,0,3.0,3,54.2,0.0,-74.5,3.0,79.83,75.16,77.67,59.3
COALINDIA,15.0,8.0,4,3.0,0.0,2,1.8,3,14.7,2,1.0,4.6,8.0,3,56.0,0,bearish,1,27.0,4,1.5,5.9,1.5,33.6,0,3.0,0,-17.2,0.0,-29.2,0.0,462.2,454.08,403.03,56.0
IMPAL,15.0,3.0,8,2.0,2.0,2,0.9,1,-1.4,0,0.0,-0.8,3.0,3,59.0,3,bullish,2,33.3,8,2.0,11.9,0.0,9.5,0,2.0,2,10.5,0.0,-30.1,2.0,1016.4,1007.54,1031.23,59.0
HYBRIDFIN,15.0,4.0,7,3.0,1.0,2,4.7,2,3.1,0,0.0,-8.0,4.0,4,52.8,0,bearish,3,52.8,7,1.0,41.9,2.0,77.5,0,3.0,0,-22.1,1.0,22.1,1.0,19.52,18.65,18.93,52.8
GEECEE,15.0,4.0,7,2.5,1.5,3,7.3,1,-8.2,0,0.0,-1.5,4.0,4,52.4,0,bearish,3,41.8,7,1.0,32.5,1.5,39.3,0,2.5,0,-45.7,1.5,50.0,1.5,300.65,280.09,327.41,52.4
DIAMINESQ,15.0,5.5,7,2.5,0.0,3,11.3,1,-4.1,0,1.5,5.1,5.5,4,52.0,0,bearish,3,49.2,7,1.0,39.7,1.5,32.5,0,2.5,0,-8.2,0.0,-31.2,0.0,275.6,247.72,287.32,52.0
ADSL,15.0,4.5,5,2.5,3.0,3,12.0,0,-14.5,0,1.5,6.2,4.5,3,57.7,0,bearish,2,39.0,5,1.0,43.5,1.5,45.7,0,2.5,3,59.0,0.0,-65.5,3.0,125.69,112.21,146.94,57.7
NDRAUTO,15.0,5.5,4,2.5,3.0,3,11.5,1,-5.7,0,1.5,8.4,5.5,1,65.9,0,bearish,3,52.5,4,1.0,33.5,1.5,34.2,0,2.5,3,51.1,0.0,-2.8,3.0,811.75,728.26,860.58,65.9
MAHASTEEL,15.0,5.0,6,4.0,0.0,0,-7.4,3,20.3,2,0.0,-8.6,5.0,4,45.1,0,bearish,2,38.8,6,2.0,21.4,2.0,252.8,0,4.0,0,-51.1,0.0,-87.6,0.0,825.65,891.65,686.35,45.1
MOKSH,15.0,5.0,5,4.0,1.0,3,5.7,1,-9.7,0,1.0,2.3,5.0,4,55.0,0,bearish,1,18.9,5,2.0,26.7,2.0,50.6,0,4.0,1,5.0,0.0,-70.4,1.0,12.21,11.55,13.52,55.0
EBGNG,15.0,4.0,4,4.0,3.0,3,6.4,0,,0,1.0,1.7,4.0,2,60.8,0,bearish,2,34.2,4,2.0,13.5,2.0,75.4,0,4.0,3,46.0,0.0,-74.6,3.0,419.15,393.83,,60.8
HDFCLIFE,15.0,1.0,9,2.0,3.0,1,-1.2,0,-15.4,0,0.0,-0.2,1.0,3,55.8,3,bullish,3,59.5,9,2.0,25.8,0.0,9.7,0,2.0,3,23.9,0.0,-53.9,3.0,608.7,616.18,719.4,55.8
BORANA,15.0,5.0,3,4.0,3.0,0,-8.1,3,10.8,2,0.0,-13.3,5.0,2,38.5,0,bearish,1,15.2,3,2.0,23.3,2.0,52.7,0,4.0,1,7.2,2.0,345.2,3.0,322.15,350.73,290.72,38.5
ASTRAMICRO,15.0,8.0,4,3.0,0.0,3,7.1,3,10.5,1,1.0,4.0,8.0,3,43.5,0,bearish,1,27.1,4,1.5,7.3,1.5,30.0,0,3.0,0,-17.8,0.0,-61.7,0.0,1106.6,1032.8,1001.03,43.5
CREST,15.0,4.0,6,3.0,2.0,3,5.2,1,-0.2,0,0.0,-1.5,4.0,4,53.2,0,bearish,2,32.8,6,2.0,15.1,1.0,22.2,0,3.0,0,-57.3,2.0,308.5,2.0,364.4,346.52,365.13,53.2
COLPAL,15.0,6.0,6,3.0,0.0,3,6.0,2,0.2,0,1.0,1.5,6.0,4,53.1,0,bearish,2,60.4,6,2.0,19.7,1.0,21.2,0,3.0,0,-17.0,0.0,-23.4,0.0,2160.0,2038.69,2155.37,53.1
MICEL,15.0,5.5,4,2.5,3.0,3,13.9,1,-4.7,0,1.5,7.4,5.5,3,55.3,0,bearish,1,23.5,4,1.0,46.5,1.5,48.1,0,2.5,3,62.0,0.0,-55.9,3.0,44.38,38.97,46.55,55.3
CONSOFINVT,15.0,7.0,5,3.0,0.0,2,0.5,3,14.6,2,0.0,-1.5,7.0,3,55.1,0,bearish,2,31.6,5,1.5,9.3,1.5,46.7,0,3.0,0,-77.1,0.0,-54.9,0.0,223.01,221.84,194.55,55.1
KRN,15.0,8.0,2,4.0,1.0,3,10.3,3,35.1,2,0.0,-5.9,8.0,1,34.9,0,bearish,1,25.0,2,2.0,16.5,2.0,98.8,0,4.0,0,-19.2,1.0,33.6,1.0,1172.6,1063.48,868.13,34.9
FORTIS,15.0,6.5,4,4.5,0.0,3,8.8,2,4.6,0,1.5,8.2,6.5,4,53.1,0,bearish,0,73.3,4,2.0,12.7,1.5,44.6,1,4.5,0,-8.7,0.0,-47.3,0.0,963.65,885.48,921.33,53.1
BEPL,15.0,5.0,6,3.0,1.0,3,5.6,2,2.6,0,0.0,-4.8,5.0,4,47.5,0,bearish,2,31.5,6,2.0,19.7,1.0,28.7,0,3.0,1,7.4,0.0,-68.7,1.0,95.5,90.43,93.09,47.5
ATLANTAA,15.0,6.0,2,4.0,3.0,3,13.2,2,6.7,0,1.0,4.0,6.0,2,62.5,0,bearish,0,88.4,2,1.0,39.4,2.0,51.1,1,4.0,1,3.4,2.0,524.1,3.0,44.45,39.26,41.66,62.5
COFORGE,15.0,3.0,8,2.0,2.0,3,6.7,0,-18.4,0,0.0,-0.5,3.0,2,60.3,3,bullish,3,56.1,8,1.0,35.4,1.0,27.2,0,2.0,2,16.1,0.0,-23.4,2.0,1282.1,1201.52,1570.6,60.3
ESSENTIA,15.0,7.0,2,3.0,3.0,3,26.4,2,5.8,0,2.0,23.2,7.0,0,76.1,2,bullish,0,85.7,2,1.0,33.6,2.0,68.3,0,3.0,3,24.1,0.0,-19.9,3.0,1.7,1.35,1.61,76.1
GOLDTECH,15.0,4.0,7,2.5,1.5,3,6.1,0,-20.8,0,1.0,2.9,4.0,2,62.4,2,bullish,3,45.3,7,1.0,48.2,1.5,40.4,0,2.5,0,-26.4,1.5,92.6,1.5,41.68,39.29,52.63,62.4
BIRLACORPN,15.0,5.5,7,2.5,0.0,3,11.8,1,-7.7,0,1.5,6.1,5.5,1,65.6,3,bullish,3,57.3,7,1.0,33.1,1.5,32.4,0,2.5,0,-5.6,0.0,-64.5,0.0,1018.65,911.53,1103.33,65.6
FAIRCHEMOR,15.0,4.5,7,2.5,1.0,3,13.0,0,-10.3,0,1.5,9.2,4.5,1,66.2,3,bullish,3,57.0,7,1.0,43.5,1.5,44.4,0,2.5,1,4.0,0.0,10.0,1.0,618.05,546.73,688.77,66.2
FLFL,15.0,6.5,4,3.5,1.0,3,12.4,2,5.9,0,1.5,6.1,6.5,3,58.0,0,bearish,1,28.6,4,2.0,29.9,1.5,41.4,0,3.5,1,8.5,0.0,-41.6,1.0,1.57,1.4,1.48,58.0
JLHL,15.0,5.0,4,2.0,4.0,3,5.2,1,-3.9,0,1.0,3.5,5.0,1,65.7,3,bullish,0,71.5,4,2.0,18.4,0.0,12.6,0,2.0,3,39.4,1.0,33.1,4.0,1326.5,1261.1,1380.09,65.7
MUFIN,15.0,5.0,3,4.0,3.0,2,3.8,2,7.7,1,0.0,-2.8,5.0,2,35.5,0,bearish,1,12.1,3,2.0,10.8,2.0,62.2,0,4.0,3,68.5,0.0,-74.9,3.0,112.71,108.63,104.65,35.5
MASTERTR,15.0,5.0,3,3.0,4.0,3,21.5,0,-19.0,0,2.0,18.9,5.0,0,76.0,3,bullish,0,82.9,3,1.0,46.7,2.0,67.3,0,3.0,2,13.1,2.0,185.3,4.0,93.02,76.57,114.83,76.0
LATENTVIEW,15.0,3.0,8,2.0,2.0,2,4.8,0,-22.7,0,1.0,1.4,3.0,3,57.0,3,bullish,2,66.9,8,1.0,40.6,1.0,23.9,0,2.0,0,-66.2,2.0,564.3,2.0,307.25,293.27,397.55,57.0
NAGREEKEXP,15.0,5.0,4,3.0,3.0,3,7.7,1,-1.7,0,1.0,0.6,5.0,3,43.3,0,bearish,1,28.4,4,1.0,34.2,2.0,50.5,0,3.0,3,53.8,0.0,-47.0,3.0,26.33,24.45,26.77,43.3
MAHSEAMLES,15.0,6.0,6,3.0,0.0,3,6.6,2,9.3,1,0.0,-0.0,6.0,4,48.0,0,bearish,2,38.6,6,2.0,15.4,1.0,28.8,0,3.0,0,-27.0,0.0,-12.9,0.0,644.75,605.05,589.83,48.0
BHAGCHEM,14.5,7.0,4,3.5,0.0,3,12.4,2,3.5,0,2.0,12.4,7.0,3,41.8,0,bearish,1,26.9,4,2.0,24.7,1.5,46.0,0,3.5,0,-11.0,0.0,-79.8,0.0,249.05,221.48,240.51,41.8
