symbol,name,sector,risk_score,volatility_risk_score,concentration_risk_score,liquidity_risk_score,beta_score,beta,volatility_score,annual_volatility_pct,drawdown_score,max_drawdown_pct,volatility_risk_total,institutional_score,institutional_holding_pct,promoter_score,promoter_holding_pct,float_score,float_pct,concentration_risk_total,volume_score,avg_volume,mcap_score,market_cap_cr,liquidity_risk_total,risk_flags
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,16.0,6.5,5.0,4.5,1,0.08,2.5,25.8,3.0,16.7,6.5,2.0,26.4,2.0,52.1,1.0,49.4,5.0,2.5,826659,2.0,156036.0,4.5,NONE
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,16.0,7.5,4.5,4.0,2,0.49,3.0,22.3,2.5,20.6,7.5,2.0,21.6,2.0,60.6,0.5,,4.5,2.0,270004,2.0,334412.0,4.0,NONE
TATAPOWER,Tata Power Company Limited,Utilities,16.0,7.0,4.0,5.0,1,0.37,3.0,21.2,3.0,16.7,7.0,1.5,19.9,1.5,46.9,1.0,52.5,4.0,3.0,5493278,2.0,132607.0,5.0,NONE
TATAPOWER,Tata Power Company Limited,Utilities,16.0,7.0,4.0,5.0,1,0.37,3.0,21.2,3.0,16.7,7.0,1.5,19.9,1.5,46.9,1.0,52.5,4.0,3.0,5493278,2.0,132607.0,5.0,NONE
DIVISLAB,Divi's Laboratories Limited,Healthcare,16.0,7.0,5.0,4.0,1,0.22,3.0,22.2,3.0,18.2,7.0,2.0,28.7,2.0,52.0,1.0,44.3,5.0,2.0,378168,2.0,183492.0,4.0,NONE
VBL,Varun Beverages Limited,Consumer Defensive,15.5,6.0,4.5,5.0,1,0.27,2.5,29.1,2.5,26.8,6.0,2.0,23.4,2.0,60.6,0.5,38.5,4.5,3.0,6465032,2.0,174121.0,5.0,NONE
PIDILITIND,Pidilite Industries Limited,Basic Materials,15.5,7.0,4.0,4.5,1,0.37,3.0,20.6,3.0,18.5,7.0,1.5,16.3,2.0,69.4,0.5,35.7,4.0,2.5,688407,2.0,148168.0,4.5,NONE
HCLTECH,HCL Technologies Limited,Technology,15.5,6.0,4.5,5.0,1,0.07,3.0,24.7,2.0,33.8,6.0,2.0,27.5,2.0,62.7,0.5,38.6,4.5,3.0,3118313,2.0,319105.0,5.0,NONE
MGL,Mahanagar Gas Limited,Utilities,15.5,7.5,4.5,3.5,3,0.78,2.5,30.7,2.0,39.7,7.5,2.0,27.5,1.5,43.6,1.0,57.5,4.5,2.0,391342,1.5,10465.0,3.5,NONE
LT,Larsen & Toubro Limited,Industrials,15.5,7.5,3.0,5.0,2,0.49,3.0,24.3,2.5,24.3,7.5,2.0,48.8,0.0,17.2,1.0,83.1,3.0,3.0,2159907,2.0,539400.0,5.0,NONE
IDBI,IDBI Bank Limited,Financial Services,15.5,7.0,3.5,5.0,4,0.91,2.0,43.3,1.0,47.0,7.0,2.0,49.6,1.5,45.6,0.0,5.2,3.5,3.0,14614061,2.0,79095.0,5.0,NONE
SRF,SRF Limited,Industrials,15.5,6.0,5.0,4.5,1,0.02,2.5,28.0,2.5,27.0,6.0,2.0,28.3,2.0,52.2,1.0,47.6,5.0,2.5,505832,2.0,78168.0,4.5,NONE
SRF,SRF Limited,Industrials,15.5,6.0,5.0,4.5,1,0.02,2.5,28.0,2.5,27.0,6.0,2.0,28.3,2.0,52.2,1.0,47.6,5.0,2.5,505832,2.0,78168.0,4.5,NONE
PRESTIGE,Prestige Estates Projects Limited,Real Estate,15.5,6.5,4.5,4.5,2,0.44,2.5,31.4,2.0,37.6,6.5,2.0,29.4,2.0,63.5,0.5,36.1,4.5,2.5,797167,2.0,59316.0,4.5,NONE
HAVELLS,Havells India Limited,Industrials,15.5,6.5,4.5,4.5,1,0.28,3.0,23.0,2.5,26.7,6.5,2.0,23.3,2.0,63.6,0.5,39.5,4.5,2.5,904402,2.0,75722.0,4.5,NONE
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,15.5,6.5,4.5,4.5,2,,2.5,28.8,2.0,30.3,6.5,1.5,11.8,2.0,62.8,1.0,52.5,4.5,3.0,1296266,1.5,18160.0,4.5,NONE
LAURUSLABS,Laurus Labs Limited,Healthcare,15.5,6.5,4.0,5.0,1,0.35,2.5,29.1,3.0,16.3,6.5,2.0,29.4,1.0,32.1,1.0,67.3,4.0,3.0,1993599,2.0,72623.0,5.0,NONE
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,15.5,6.5,4.5,4.5,2,,2.5,28.8,2.0,30.3,6.5,1.5,11.8,2.0,62.8,1.0,52.5,4.5,3.0,1296266,1.5,18160.0,4.5,NONE
REDINGTON,Redington Limited,Technology,15.5,8.0,3.0,4.5,4,0.9,2.0,49.4,2.0,38.0,8.0,2.0,36.3,0.0,26.0,1.0,74.9,3.0,3.0,5392935,1.5,17296.0,4.5,NONE
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,15.5,6.5,4.5,4.5,1,0.31,2.5,30.1,3.0,18.5,6.5,2.0,26.1,1.5,49.0,1.0,50.2,4.5,2.5,864745,2.0,67895.0,4.5,NONE
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,15.5,6.5,4.5,4.5,1,0.31,2.5,30.1,3.0,18.5,6.5,2.0,26.1,1.5,49.0,1.0,50.2,4.5,2.5,864745,2.0,67895.0,4.5,NONE
PIDILITIND,Pidilite Industries Limited,Basic Materials,15.5,7.0,4.0,4.5,1,0.37,3.0,20.6,3.0,18.5,7.0,1.5,16.3,2.0,69.4,0.5,35.7,4.0,2.5,688407,2.0,148168.0,4.5,NONE
ASTRAL,Astral Limited,Industrials,15.5,6.5,5.0,4.0,1,0.15,2.5,29.7,3.0,19.2,6.5,2.0,26.0,2.0,54.3,1.0,44.7,5.0,2.5,770237,1.5,38925.0,4.0,NONE
CONCOR,Container Corporation of India Limited,Industrials,15.5,6.0,5.0,4.5,1,0.37,3.0,23.7,2.0,33.6,6.0,2.0,38.8,2.0,57.9,1.0,45.1,5.0,3.0,1678824,1.5,38507.0,4.5,NONE
TITAN,Titan Company Limited,Consumer Cyclical,15.5,7.0,4.0,4.5,1,0.29,3.0,22.9,3.0,11.3,7.0,1.5,19.9,2.0,58.8,0.5,37.2,4.0,2.5,980467,2.0,363866.0,4.5,NONE
RBLBANK,RBL Bank Limited,Financial Services,15.5,8.5,2.5,4.5,3,0.64,2.5,32.8,3.0,13.0,8.5,1.5,52.8,0.0,2.7,1.0,91.2,2.5,3.0,9139495,1.5,20024.0,4.5,NONE
ADANIENT,Adani Enterprises Limited,Energy,15.5,7.5,3.0,5.0,3,0.77,2.5,33.6,2.0,34.3,7.5,1.5,14.3,1.0,77.3,0.5,32.5,3.0,3.0,1491279,2.0,373582.0,5.0,NONE
