symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pb_ratio,peg_ratio,roe,revenue_growth,earnings_growth,profit_margin,debt_to_equity,pe_score,pe_discount_pct,pb_score,peg_score,ev_ebitda_score,valuation_total,revenue_score,earnings_score,growth_total,roe_score,margin_score,roce_score,quality_total,de_score,current_ratio_score,fcf_score,health_total
PNBHOUSING,PNB Housing Finance Limited,Financial Services,14.0,5.0,5,3.0,1.0,12.1241455,1.4431119,,0.127,0.216,0.19,0.58886003,277.418,4,38.2,1.0,0.0,0,5.0,3,2,5,1.0,2.0,0,3.0,0.0,1,0.0,1.0
IIFL,IIFL Finance Limited,Financial Services,14.0,5.0,5,3.0,1.0,11.891613,1.407715,,0.12286,-0.141,1.831,0.21020001,446.24,4,39.4,1.0,0.0,0,5.0,0,5,5,1.0,2.0,0,3.0,0.0,1,0.0,1.0
ESCORTS,Escorts Kubota Limited,Industrials,14.0,5.0,4,3.0,2.0,23.277237,2.675822,1.61,0.120220006,0.214,0.006,0.20746,1.309,4,47.3,1.0,0.0,0,5.0,3,1,4,1.0,2.0,0,3.0,0.0,1,1.0,2.0
TNPETRO,Tamilnadu Petroproducts Limited,Basic Materials,14.0,8.0,5,1.0,0.0,6.8599067,0.81504095,,,-0.085,0.7,0.06471,33.127,4,70.3,2.0,0.0,2,8.0,0,5,5,0.0,1.0,0,1.0,0.0,0,0.0,0.0
GSFC,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,14.0,8.0,3,1.0,2.0,10.124857,0.56271505,,,0.045,0.182,0.06765,0.011,4,56.2,2.0,0.0,2,8.0,1,2,3,0.0,1.0,0,1.0,2.0,0,0.0,2.0
NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,14.0,0.0,9,3.5,1.5,54.21839,9.122756,,0.20105,0.338,1.165,0.20023,31.997,0,-134.4,0.0,0.0,0,0.0,4,5,9,1.5,2.0,0,3.5,0.0,1,0.5,1.5
NAZARA,Nazara Technologies Limited,Communication Services,14.0,5.0,5,1.0,3.0,10.835783,3.2188537,,0.01974,-0.138,646.629,0.03119,6.051,4,51.1,0.0,0.0,1,5.0,0,5,5,0.0,0.0,1,1.0,0.0,1,2.0,3.0
SCHAEFFLER,Schaeffler India Limited,Consumer Cyclical,13.5,0.0,8,3.0,2.5,51.197845,10.30607,,0.20212999,0.275,0.355,0.118769996,0.904,0,-58.1,0.0,0.0,0,0.0,4,4,8,1.5,1.5,0,3.0,1.0,1,0.5,2.5
COFORGE,Coforge Limited,Technology,13.5,0.0,9,2.5,2.0,32.230083,4.9724784,,0.18596001,0.305,1.34,0.094840005,7.518,0,-9.9,0.0,0.0,0,0.0,4,5,9,1.5,1.0,0,2.5,0.0,1,1.0,2.0
COFORGE,Coforge Limited,Technology,13.5,0.0,9,2.5,2.0,32.230083,4.9724784,,0.18596001,0.305,1.34,0.094840005,7.518,0,-9.9,0.0,0.0,0,0.0,4,5,9,1.5,1.0,0,2.5,0.0,1,1.0,2.0
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,13.5,2.0,8,3.5,0.0,37.832603,10.017035,,0.2877,0.213,1.09,0.19863,4.481,2,14.3,0.0,0.0,0,2.0,3,5,8,2.0,1.5,0,3.5,0.0,0,0.0,0.0
SCHAEFFLER,Schaeffler India Limited,Consumer Cyclical,13.5,0.0,8,3.0,2.5,51.197845,10.30607,,0.20212999,0.275,0.355,0.118769996,0.904,0,-58.1,0.0,0.0,0,0.0,4,4,8,1.5,1.5,0,3.0,1.0,1,0.5,2.5
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,13.5,2.0,8,3.5,0.0,37.832603,10.017035,,0.2877,0.213,1.09,0.19863,4.481,2,14.3,0.0,0.0,0,2.0,3,5,8,2.0,1.5,0,3.5,0.0,0,0.0,0.0
SBIN,State Bank of India,Financial Services,13.5,7.0,1,3.5,2.0,10.4126425,1.479354,0.53,0.15477,0.038,-0.031,0.22293,,4,46.9,1.5,1.5,0,7.0,1,0,1,1.5,2.0,0,3.5,2.0,0,0.0,2.0
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Cyclical,13.5,2.0,10,1.5,0.0,26.371647,6.660667,,0.24305001,0.669,1.17,0.03778,96.966,2,18.5,0.0,0.0,0,2.0,5,5,10,1.5,0.0,0,1.5,0.0,0,0.0,0.0
TDPOWERSYS,TD Power Systems Limited,Industrials,13.5,0.0,9,3.0,1.5,82.27243,18.316349,,0.24716999,0.715,0.365,0.12717,1.689,0,-86.4,0.0,0.0,0,0.0,5,4,9,1.5,1.5,0,3.0,0.0,1,0.5,1.5
VEDL,Vedanta Limited,Basic Materials,13.5,4.0,5,3.5,1.0,18.810583,3.2804484,,0.20403999,-0.413,0.922,0.22681999,48.044,2,18.7,0.0,0.0,2,4.0,0,5,5,1.5,2.0,0,3.5,0.0,1,0.0,1.0
WIPRO,Wipro Limited,Technology,13.5,7.0,1,3.0,2.5,15.526651,2.2797039,1.31,0.15487,0.077,-0.016,0.14248,22.853,4,47.1,1.0,1.0,1,7.0,1,0,1,1.5,1.5,0,3.0,0.0,1,1.5,2.5
MAHSEAMLES,Maharashtra Seamless Limited,Basic Materials,13.5,7.0,3,1.5,2.0,10.015149,1.28191,,,-0.226,0.305,0.17288,0.151,4,56.7,1.0,0.0,2,7.0,0,3,3,0.0,1.5,0,1.5,2.0,0,0.0,2.0
VEDL,Vedanta Limited,Basic Materials,13.5,4.0,5,3.5,1.0,18.810583,3.2804484,,0.20403999,-0.413,0.922,0.22681999,48.044,2,18.7,0.0,0.0,2,4.0,0,5,5,1.5,2.0,0,3.5,0.0,1,0.0,1.0
KIRIINDUS,Kiri Industries Limited,Basic Materials,13.0,6.0,5,2.0,0.0,0.4807085,0.6649841,,,-0.028,29.226,6.25453,37.3,4,97.9,2.0,0.0,0,6.0,0,5,5,0.0,2.0,0,2.0,0.0,0,0.0,0.0
JKTYRE,JK Tyre & Industries Limited,Consumer Cyclical,13.0,6.0,7,0.0,0.0,14.543796,1.8754117,,,0.15,2.878,0.04303,89.667,4,55.1,1.0,0.0,1,6.0,2,5,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0
INFY,Infosys Limited,Technology,13.0,4.0,3,4.5,1.5,15.588696,5.2420063,2.09,0.31439,0.066,0.118,0.16434999,9.827,4,46.9,0.0,0.0,0,4.0,1,2,3,2.0,1.5,1,4.5,0.0,1,0.5,1.5
AUBANK,AU Small Finance Bank Limited,Financial Services,13.0,0.0,9,2.0,2.0,27.72896,3.6368606,,,0.371,0.626,0.21372999,,0,-41.4,0.0,0.0,0,0.0,4,5,9,0.0,2.0,0,2.0,2.0,0,0.0,2.0
SATIA,Satia Industries Limited,Basic Materials,13.0,8.0,5,0.0,0.0,9.009929,0.60356706,,,0.012,0.414,0.04832,27.735,4,61.0,2.0,0.0,2,8.0,1,4,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0
FEDERALBNK,The Federal Bank Limited,Financial Services,13.0,3.0,5,3.0,2.0,16.386507,1.9403541,,0.11731,0.123,0.222,0.29906,,2,16.5,1.0,0.0,0,3.0,2,3,5,1.0,2.0,0,3.0,2.0,0,0.0,2.0
NAVNETEDUL,Navneet Education Limited,Communication Services,13.0,6.0,5,2.0,0.0,9.487316,1.638403,,,-0.115,10.938,0.20955,5.146,4,57.2,1.0,0.0,1,6.0,0,5,5,0.0,2.0,0,2.0,0.0,0,0.0,0.0
WABAG,VA Tech Wabag Limited,Industrials,13.0,4.0,8,1.0,0.0,25.68182,3.7216935,,,0.185,0.733,0.092700005,10.322,4,41.8,0.0,0.0,0,4.0,3,5,8,0.0,1.0,0,1.0,0.0,0,0.0,0.0
NIITLTD,NIIT Limited,Consumer Defensive,13.0,6.0,4,0.0,3.0,37.982037,0.8184833,,0.00569,0.255,,0.011569999,0.65,2,12.9,2.0,0.0,2,6.0,4,0,4,0.0,0.0,0,0.0,1.0,1,1.0,3.0
SOMANYCERA,Somany Ceramics Limited,Industrials,12.5,5.0,6,0.0,1.5,33.170574,2.7355638,,0.08397,0.068,0.768,0.02898,40.692,3,24.9,1.0,0.0,1,5.0,1,5,6,0.0,0.0,0,0.0,0.0,0,1.5,1.5
STARCEMENT,Star Cement Limited,Basic Materials,12.5,3.0,8,1.5,0.0,23.061405,2.8257804,,,0.224,7.409,0.10086001,21.388,1,0.3,1.0,0.0,1,3.0,3,5,8,0.0,1.5,0,1.5,0.0,0,0.0,0.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,12.5,4.0,5,3.5,0.0,30.247084,4.2247953,,0.15592,0.265,0.036,0.33060002,64.051,4,31.5,0.0,0.0,0,4.0,4,1,5,1.5,2.0,0,3.5,0.0,0,0.0,0.0
INDUSTOWER,Indus Towers Limited,Communication Services,12.5,5.0,2,3.5,2.0,15.892989,2.8649733,,0.19806999,0.048,0.008,0.21989,53.289,3,28.3,1.0,0.0,1,5.0,1,1,2,1.5,2.0,0,3.5,0.0,1,1.0,2.0
STAR,Strides Pharma Science Limited,Healthcare,12.5,4.0,7,1.5,0.0,19.109896,3.855028,,,0.119,0.544,0.10823,55.821,4,54.8,0.0,0.0,0,4.0,2,5,7,0.0,1.5,0,1.5,0.0,0,0.0,0.0
POONAWALLA,Poonawalla Fincorp Limited,Financial Services,12.5,0.0,10,1.5,1.0,59.397945,3.2517908,,,0.674,2.877,0.13774,470.362,0,-202.8,0.0,0.0,0,0.0,5,5,10,0.0,1.5,0,1.5,0.0,1,0.0,1.0
JUSTDIAL,Just Dial Limited,Communication Services,12.5,6.0,1,3.0,2.5,8.766467,0.8533642,,0.102340005,0.062,-0.365,0.40945,1.655,4,60.4,2.0,0.0,0,6.0,1,0,1,1.0,2.0,0,3.0,0.0,1,1.5,2.5
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services,12.5,0.0,6,5.0,1.5,45.836506,14.794864,,0.34476003,0.196,0.273,0.52143,1.617,0,-133.7,0.0,0.0,0,0.0,3,3,6,2.0,2.0,1,5.0,0.0,1,0.5,1.5
METROPOLIS,Metropolis Healthcare Limited,Healthcare,12.5,0.0,9,2.5,1.0,55.407608,7.371443,,0.13373,0.254,0.73,0.113690004,15.212,0,-31.2,0.0,0.0,0,0.0,4,5,9,1.0,1.5,0,2.5,0.0,0,1.0,1.0
METROPOLIS,Metropolis Healthcare Limited,Healthcare,12.5,0.0,9,2.5,1.0,55.407608,7.371443,,0.13373,0.254,0.73,0.113690004,15.212,0,-31.2,0.0,0.0,0,0.0,4,5,9,1.0,1.5,0,2.5,0.0,0,1.0,1.0
